Year,Lg,Contest,Winner,Others
2020,NBA,Skills Challenge,Bam Adebayo,"Patrick Beverley,Spencer Dinwiddie,Shai Gilgeous-Alexander,Khris Middleton,Derrick Rose,Domantas Sabonis,Pascal Siakam,Jayson Tatum"
2020,NBA,Slam Dunk,Derrick Jones,"Pat Connaughton,Aaron Gordon,Dwight Howard"
2020,NBA,Three-Point,Buddy Hield,"Davis Bertans,Devin Booker,Devonte' Graham,Joe Harris,Zach LaVine,Duncan Robinson,Trae Young"
2019,NBA,Skills Challenge,Jayson Tatum,"Mike Conley,Luka Doncic,De'Aaron Fox,Nikola Jokic,Kyle Kuzma,Nikola Vucevic,Trae Young"
2019,NBA,Slam Dunk,Hamidou Diallo,"Miles Bridges,John Collins,Dennis Smith"
2019,NBA,Three-Point,Joe Harris,"Devin Booker,Seth Curry,Stephen Curry,Danny Green,Buddy Hield,Damian Lillard,Khris Middleton,Dirk Nowitzki,Kemba Walker"
2018,NBA,Skills Challenge,Spencer Dinwiddie,"Andre Drummond,Joel Embiid,Buddy Hield,Al Horford,Lauri Markkanen,Jamal Murray,Lou Williams"
2018,NBA,Slam Dunk,Donovan Mitchell,"Larry Nance,Victor Oladipo,Dennis Smith"
2018,NBA,Three-Point,Devin Booker,"Bradley Beal,Wayne Ellington,Paul George,Eric Gordon,Tobias Harris,Kyle Lowry,Klay Thompson"
2017,NBA,Skills Challenge,Kristaps Porzingis,"Devin Booker,DeMarcus Cousins,Anthony Davis,Gordon Hayward,Nikola Jokic,Isaiah Thomas,John Wall"
2017,NBA,Slam Dunk,Glenn Robinson III,"Aaron Gordon,Derrick Jones,DeAndre Jordan"
2017,NBA,Three-Point,Eric Gordon,"Kyrie Irving,Kyle Lowry,Wesley Matthews,CJ McCollum,Klay Thompson,Kemba Walker,Nick Young"
2016,NBA,Skills Challenge,Karl-Anthony Towns,"Jordan Clarkson,DeMarcus Cousins,Anthony Davis,Draymond Green,CJ McCollum,Emmanuel Mudiay,Isaiah Thomas"
2016,NBA,Slam Dunk,Zach LaVine,"Will Barton,Andre Drummond,Aaron Gordon"
2016,NBA,Three-Point,Klay Thompson,"Devin Booker,Stephen Curry,James Harden,Kyle Lowry,CJ McCollum,Khris Middleton,J.J. Redick"
2015,NBA,Skills Challenge,Patrick Beverley,"Trey Burke,Brandon Knight,Kyle Lowry,Elfrid Payton,Dennis Schröder,Jeff Teague,Isaiah Thomas"
2015,NBA,Slam Dunk,Zach LaVine,"Giannis Antetokounmpo,Victor Oladipo,Mason Plumlee"
2015,NBA,Three-Point,Stephen Curry,"Marco Belinelli,James Harden,Kyrie Irving,Kyle Korver,Wesley Matthews,J.J. Redick,Klay Thompson"
2014,NBA,Skills Challenge,Damian Lillard,"Giannis Antetokounmpo,Michael Carter-Williams,DeMar DeRozan,Goran Dragic,Reggie Jackson,Victor Oladipo"
2014,NBA,Skills Challenge,Trey Burke,"Giannis Antetokounmpo,Michael Carter-Williams,DeMar DeRozan,Goran Dragic,Reggie Jackson,Victor Oladipo"
2014,NBA,Slam Dunk,John Wall,"Harrison Barnes,Paul George,Damian Lillard,Ben McLemore,Terrence Ross"
2014,NBA,Three-Point,Marco Belinelli,"Arron Afflalo,Bradley Beal,Stephen Curry,Kyrie Irving,Joe Johnson,Damian Lillard,Kevin Love"
2013,NBA,Skills Challenge,Damian Lillard,"Jrue Holiday,Brandon Knight,Jeremy Lin,Tony Parker,Jeff Teague"
2013,NBA,Slam Dunk,Terrence Ross,"Eric Bledsoe,Jeremy Evans,Kenneth Faried,Gerald Green,James White"
2013,NBA,Three-Point,Kyrie Irving,"Ryan Anderson,Matt Bonner,Stephen Curry,Paul George,Steve Novak"
2012,NBA,Skills Challenge,Tony Parker,"Kyrie Irving,Rajon Rondo,John Wall,Russell Westbrook,Deron Williams"
2012,NBA,Slam Dunk,Jeremy Evans,"Chase Budinger,Paul George,Derrick Williams"
2012,NBA,Three-Point,Kevin Love,"Ryan Anderson,Mario Chalmers,Kevin Durant,James Jones,Anthony Morrow"
2011,NBA,Skills Challenge,Stephen Curry,"Chris Paul,Derrick Rose,John Wall"
2011,NBA,Slam Dunk,Blake Griffin,"DeMar DeRozan,Serge Ibaka,JaVale McGee"
2011,NBA,Three-Point,James Jones,"Ray Allen,Kevin Durant,Daniel Gibson,Paul Pierce,Dorell Wright"
2010,NBA,Skills Challenge,Steve Nash,"Brandon Jennings,Russell Westbrook,Deron Williams"
2010,NBA,Slam Dunk,Nate Robinson,"Shannon Brown,DeMar DeRozan,Gerald Wallace"
2010,NBA,Three-Point,Paul Pierce,"Chauncey Billups,Daequan Cook,Stephen Curry,Channing Frye,Danilo Gallinari"
2010,NBA,H-O-R-S-E,Kevin Durant,"Omri Casspi,Rajon Rondo"
