Season,Lg,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP
2020,NBA,Kawhi Leonard,LAC,20:21,30,7,4,2,0,.611,.571,
2019,NBA,Kevin Durant,GSW,25:26,31,7,2,1,2,.667,.667,1.000
2018,NBA,LeBron James,CLE,31:17,29,10,8,1,0,.706,.500,1.000
2017,NBA,Anthony Davis,NOP,31:50,52,10,0,2,0,.667,.000,
2016,NBA,Russell Westbrook,OKC,22:11,31,8,5,5,0,.522,.412,
2015,NBA,Russell Westbrook,OKC,25:33,41,5,1,3,0,.571,.556,1.000
2014,NBA,Kyrie Irving,CLE,33:51,31,5,14,0,0,.824,.500,
2013,NBA,Chris Paul,LAC,27:17,20,0,15,4,0,.700,.800,.667
2012,NBA,Kevin Durant,OKC,37:23,36,7,3,3,0,.560,.375,.714
2011,NBA,Kobe Bryant,LAL,29:21,37,14,3,3,0,.538,.286,.875
2010,NBA,Dwyane Wade,MIA,31:20,28,6,11,5,0,.750,.000,.667
2009,NBA,Shaquille O'Neal,PHO,10:56,17,5,3,0,1,.889,,.250
2009,NBA,Kobe Bryant,LAL,29:14,27,4,4,4,0,.522,.375,
2008,NBA,LeBron James,CLE,30:15,27,8,9,2,2,.545,.286,1.000
2007,NBA,Kobe Bryant,LAL,28:09,31,5,6,6,0,.542,.333,1.000
2006,NBA,LeBron James,CLE,30:34,29,6,2,2,0,.571,.400,.200
2005,NBA,Allen Iverson,PHI,31:50,15,4,10,5,0,.286,,1.000
2004,NBA,Shaquille O'Neal,LAL,23:31,24,11,1,2,2,.632,,.000
2003,NBA,Kevin Garnett,MIN,41:00,37,9,3,5,1,.708,,1.000
2002,NBA,Kobe Bryant,LAL,30:00,31,5,5,1,0,.480,.000,1.000
2001,NBA,Allen Iverson,PHI,27:00,25,2,5,4,0,.429,1.000,1.000
2000,NBA,Shaquille O'Neal,LAL,25:00,22,9,3,0,3,.550,,.000
1999,NBA,Tim Duncan,SAS,33:00,24,14,4,1,1,.857,,
1998,NBA,Michael Jordan,CHI,32:00,23,6,8,3,0,.556,1.000,.667
1997,NBA,Glen Rice,CHH,25:00,26,1,1,2,0,.417,.571,1.000
1996,NBA,Michael Jordan,CHI,22:00,20,4,1,1,0,.727,,1.000
1995,NBA,Mitch Richmond,SAC,22:00,23,4,2,0,0,.769,1.000,
1994,NBA,Scottie Pippen,CHI,31:00,29,11,2,4,1,.600,.556,.600
1993,NBA,John Stockton,UTA,31:00,9,6,15,2,0,.500,.500,1.000
1993,NBA,Karl Malone,UTA,34:00,28,10,0,1,2,.647,,.667
1992,NBA,Magic Johnson,LAL,29:00,25,5,9,2,0,.750,1.000,1.000
1991,NBA,Charles Barkley,PHI,35:00,17,22,4,1,1,.467,,.500
1990,NBA,Magic Johnson,LAL,25:00,22,6,4,0,1,.600,.667,
1989,NBA,Karl Malone,UTA,26:00,28,9,3,2,0,.706,,.667
1988,NBA,Michael Jordan,CHI,29:00,40,8,3,4,4,.739,,1.000
1987,NBA,Tom Chambers,SEA,29:00,34,4,2,4,0,.520,.667,.667
1986,NBA,Isiah Thomas,DET,36:00,30,1,10,5,0,.579,.000,.889
1985,NBA,Ralph Sampson,HOU,29:00,24,10,1,0,1,.667,,.667
1984,NBA,Isiah Thomas,DET,39:00,21,5,15,4,0,.529,.000,1.000
1983,NBA,Julius Erving,PHI,28:00,25,6,3,1,2,.579,,1.000
1982,NBA,Larry Bird,BOS,28:00,19,12,5,1,1,.583,,.625
1981,NBA,Tiny Archibald,BOS,25:00,9,5,9,3,0,.571,,.333
1980,NBA,George Gervin,SAS,40:00,34,10,3,3,0,.538,,.667
1979,NBA,David Thompson,DEN,34:00,25,5,2,1,1,.647,,.429
1978,NBA,Randy Smith,BUF,29:00,27,7,6,2,0,.786,,.833
1977,NBA,Julius Erving,PHI,30:00,30,12,3,4,1,.600,,1.000
1976,NBA,Dave Bing,WSB,26:00,16,3,4,0,0,.636,,1.000
1975,NBA,Walt Frazier,NYK,35:00,30,5,2,4,0,.588,,.909
1974,NBA,Bob Lanier,DET,26:00,24,10,2,0,2,.733,,1.000
1973,NBA,Dave Cowens,BOS,30:00,15,13,1,,,.467,,1.000
1972,NBA,Jerry West,LAL,27:00,13,6,5,,,.667,,.500
1971,NBA,Lenny Wilkens,SEA,20:00,21,1,1,,,.727,,1.000
1970,NBA,Willis Reed,NYK,30:00,21,11,0,,,.500,,1.000
1969,NBA,Oscar Robertson,CIN,32:00,24,6,5,,,.500,,1.000
1968,NBA,Hal Greer,PHI,17:00,21,3,3,,,1.000,,.714
1967,NBA,Rick Barry,SFW,34:00,38,6,3,,,.593,,.750
1966,NBA,Adrian Smith,CIN,26:00,24,8,3,,,.500,,1.000
1965,NBA,Jerry Lucas,CIN,35:00,25,10,1,,,.632,,1.000
1964,NBA,Oscar Robertson,CIN,42:00,26,14,8,,,.435,,.600
1963,NBA,Bill Russell,BOS,37:00,19,24,5,,,.571,,.750
1962,NBA,Bob Pettit,STL,37:00,25,27,2,,,.500,,1.000
1961,NBA,Oscar Robertson,CIN,34:00,23,9,14,,,.615,,.778
1960,NBA,Wilt Chamberlain,PHW,30:00,23,25,2,,,.450,,.714
1959,NBA,Bob Pettit,STL,34:00,25,16,5,,,.381,,1.000
1959,NBA,Elgin Baylor,MNL,32:00,24,11,1,,,.500,,.800
1958,NBA,Bob Pettit,STL,38:00,28,26,1,,,.476,,.800
1957,NBA,Bob Cousy,BOS,28:00,10,5,7,,,.286,,1.000
1956,NBA,Bob Pettit,STL,31:00,20,24,7,,,.412,,.857
1955,NBA,Bill Sharman,BOS,18:00,15,4,2,,,.500,,1.000
1954,NBA,Bob Cousy,BOS,34:00,20,11,4,,,.400,,1.000
1953,NBA,George Mikan,MNL,40:00,22,16,2,,,.346,,1.000
1952,NBA,Paul Arizin,PHW,32:00,26,6,0,,,.692,,1.000
1951,NBA,Ed Macauley,BOS,,20,6,1,,,.583,,.857
