Season,Lg,Coach,Tm,G,W,L,W/LP
2019,NBA,Mike Budenholzer,MIL,82,60,22,.732
2018,NBA,Dwane Casey,TOR,82,59,23,.720
2017,NBA,Mike D'Antoni,HOU,82,55,27,.671
2016,NBA,Steve Kerr,GSW,82,73,9,.890
2015,NBA,Mike Budenholzer,ATL,82,60,22,.732
2014,NBA,Gregg Popovich,SAS,82,62,20,.756
2013,NBA,George Karl,DEN,82,57,25,.695
2012,NBA,Gregg Popovich,SAS,66,50,16,.758
2011,NBA,Tom Thibodeau,CHI,82,62,20,.756
2010,NBA,Scott Brooks,OKC,82,50,32,.610
2009,NBA,Mike Brown,CLE,82,66,16,.805
2008,NBA,Byron Scott,NOH,82,56,26,.683
2007,NBA,Sam Mitchell,TOR,82,47,35,.573
2006,NBA,Avery Johnson,DAL,82,60,22,.732
2005,NBA,Mike D'Antoni,PHO,82,62,20,.756
2004,NBA,Hubie Brown,MEM,82,50,32,.610
2003,NBA,Gregg Popovich,SAS,82,60,22,.732
2002,NBA,Rick Carlisle,DET,82,50,32,.610
2001,NBA,Larry Brown,PHI,82,56,26,.683
2000,NBA,Doc Rivers,ORL,82,41,41,.500
1999,NBA,Mike Dunleavy,POR,50,35,15,.700
1998,NBA,Larry Bird,IND,82,58,24,.707
1997,NBA,Pat Riley,MIA,82,61,21,.744
1996,NBA,Phil Jackson,CHI,82,72,10,.878
1995,NBA,Del Harris,LAL,82,48,34,.585
1994,NBA,Lenny Wilkens,ATL,82,57,25,.695
1993,NBA,Pat Riley,NYK,82,60,22,.732
1992,NBA,Don Nelson,GSW,82,55,27,.671
1991,NBA,Don Chaney,HOU,82,52,30,.634
1990,NBA,Pat Riley,LAL,82,63,19,.768
1989,NBA,Cotton Fitzsimmons,PHO,82,55,27,.671
1988,NBA,Doug Moe,DEN,82,54,28,.659
1987,NBA,Mike Schuler,POR,82,49,33,.598
1986,NBA,Mike Fratello,ATL,82,50,32,.610
1985,NBA,Don Nelson,MIL,82,59,23,.720
1984,NBA,Frank Layden,UTA,82,45,37,.549
1983,NBA,Don Nelson,MIL,82,51,31,.622
1982,NBA,Gene Shue,WSB,82,43,39,.524
1981,NBA,Jack McKinney,IND,82,44,38,.537
1980,NBA,Bill Fitch,BOS,82,61,21,.744
1979,NBA,Cotton Fitzsimmons,KCK,82,48,34,.585
1978,NBA,Hubie Brown,ATL,82,41,41,.500
1977,NBA,Tom Nissalke,HOU,82,49,33,.598
1976,NBA,Bill Fitch,CLE,82,49,33,.598
1975,NBA,Phil Johnson,KCO,82,44,38,.537
1974,NBA,Ray Scott,DET,82,52,30,.634
1973,NBA,Tom Heinsohn,BOS,82,68,14,.829
1972,NBA,Bill Sharman,LAL,82,69,13,.841
1971,NBA,Dick Motta,CHI,82,51,31,.622
1970,NBA,Red Holzman,NYK,82,60,22,.732
1969,NBA,Gene Shue,BAL,82,57,25,.695
1968,NBA,Richie Guerin,STL,82,56,26,.683
1967,NBA,Red Kerr,CHI,81,33,48,.407
1966,NBA,Dolph Schayes,PHI,80,55,25,.688
1965,NBA,Red Auerbach,BOS,80,62,18,.775
1964,NBA,Alex Hannum,SFW,80,48,32,.600
1963,NBA,Harry Gallatin,STL,80,48,32,.600
