Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP,WS,WS/48
2019,NBA,Rudy Gobert,(V),26,UTA,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268
2018,NBA,Rudy Gobert,(V),25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214
2017,NBA,Draymond Green,(V),26,GSW,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160
2016,NBA,Kawhi Leonard,(V),24,SAS,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277
2015,NBA,Kawhi Leonard,(V),23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204
2014,NBA,Joakim Noah,(V),28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190
2013,NBA,Marc Gasol,(V),28,MEM,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197
2012,NBA,Tyson Chandler,(V),29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220
2011,NBA,Dwight Howard,(V),25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235
2010,NBA,Dwight Howard,(V),24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223
2009,NBA,Dwight Howard,(V),23,ORL,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234
2008,NBA,Kevin Garnett,(V),31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265
2007,NBA,Marcus Camby,(V),32,DEN,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155
2006,NBA,Ben Wallace,(V),31,DET,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168
2005,NBA,Ben Wallace,(V),30,DET,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153
2004,NBA,Metta World Peace,(V),24,IND,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141
2003,NBA,Ben Wallace,(V),28,DET,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176
2002,NBA,Ben Wallace,(V),27,DET,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190
2001,NBA,Dikembe Mutombo,(V),34,TOT,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151
2000,NBA,Alonzo Mourning,(V),29,MIA,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226
1999,NBA,Alonzo Mourning,(V),28,MIA,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216
1998,NBA,Dikembe Mutombo,(V),31,ATL,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177
1997,NBA,Dikembe Mutombo,(V),30,ATL,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183
1996,NBA,Gary Payton,(V),27,SEA,81,39.0,19.3,4.2,7.5,2.9,0.2,.484,.328,.748,11.5,.174
1995,NBA,Dikembe Mutombo,(V),28,DEN,82,37.8,11.5,12.5,1.4,0.5,3.9,.556,,.654,8.7,.135
1994,NBA,Hakeem Olajuwon,(V),31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210
1993,NBA,Hakeem Olajuwon,(V),30,HOU,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234
1992,NBA,David Robinson,(V),26,SAS,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260
1991,NBA,Dennis Rodman,(V),29,DET,82,33.5,8.2,12.5,1.0,0.8,0.7,.493,.200,.631,8.7,.151
1990,NBA,Dennis Rodman,(V),28,DET,82,29.0,8.8,9.7,0.9,0.6,0.7,.581,.111,.654,9.3,.189
