Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP,WS,WS/48
2019,NBA,Pascal Siakam,(V),24,TOR,80,31.9,16.9,6.9,3.1,0.9,0.7,.549,.369,.785,9.3,.175
2018,NBA,Victor Oladipo,(V),25,IND,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155
2017,NBA,Giannis Antetokounmpo,(V),22,MIL,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210
2016,NBA,CJ McCollum,(V),24,POR,80,34.8,20.8,3.2,4.3,1.2,0.3,.448,.417,.827,6.0,.104
2015,NBA,Jimmy Butler,(V),25,CHI,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214
2014,NBA,Goran Dragić,(V),27,PHO,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186
2013,NBA,Paul George,(V),22,IND,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145
2012,NBA,Ryan Anderson,(V),23,ORL,61,32.2,16.1,7.7,0.9,0.8,0.4,.439,.393,.877,8.9,.219
2011,NBA,Kevin Love,(V),22,MIN,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210
2010,NBA,Aaron Brooks,(V),25,HOU,82,35.6,19.6,2.6,5.3,0.8,0.2,.432,.398,.822,5.5,.091
2009,NBA,Danny Granger,(V),25,IND,67,36.2,25.8,5.1,2.7,1.0,1.4,.447,.404,.878,8.0,.158
2008,NBA,Hedo Türkoğlu,(V),28,ORL,82,36.9,19.5,5.7,5.0,0.9,0.3,.456,.400,.829,9.0,.143
2007,NBA,Monta Ellis,(V),21,GSW,77,34.3,16.5,3.2,4.1,1.7,0.3,.475,.273,.763,4.0,.072
2006,NBA,Boris Diaw,(V),23,PHO,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149
2005,NBA,Bobby Simmons,(V),24,LAC,75,37.3,16.4,5.9,2.7,1.4,0.2,.466,.435,.846,6.8,.117
2004,NBA,Zach Randolph,(V),22,POR,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111
2003,NBA,Gilbert Arenas,(V),21,GSW,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109
2002,NBA,Jermaine O'Neal,(V),23,IND,72,37.6,19.0,10.5,1.6,0.6,2.3,.479,.071,.688,6.4,.113
2001,NBA,Tracy McGrady,(V),21,ORL,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189
2000,NBA,Jalen Rose,(V),27,IND,80,37.2,18.2,4.8,4.0,1.1,0.6,.471,.393,.827,7.3,.118
1999,NBA,Darrell Armstrong,(V),30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205
1998,NBA,Alan Henderson,(V),25,ATL,69,29.0,14.3,6.4,1.1,0.6,0.5,.485,.500,.652,6.0,.144
1997,NBA,Isaac Austin,(V),27,MIA,82,22.9,9.7,5.8,1.2,0.5,0.5,.502,.000,.664,4.0,.102
1996,NBA,Gheorghe Mureșan,(V),24,WSB,76,29.5,14.5,9.6,0.7,0.7,2.3,.584,.000,.619,8.0,.172
1995,NBA,Dana Barros,(V),27,PHI,82,40.5,20.6,3.3,7.5,1.8,0.0,.490,.464,.899,12.7,.183
1994,NBA,Don MacLean,(V),24,WSB,75,33.2,18.2,6.2,2.1,0.6,0.3,.502,.143,.824,5.6,.108
1993,NBA,Mahmoud AbdRauf,(V),23,DEN,81,33.5,19.2,2.8,4.2,1.0,0.1,.450,.355,.935,5.1,.091
1992,NBA,Pervis Ellison,(V),24,WSB,66,38.0,20.0,11.2,2.9,0.9,2.7,.539,.333,.728,6.9,.131
1991,NBA,Scott Skiles,(V),26,ORL,79,34.4,17.2,3.4,8.4,1.1,0.1,.445,.408,.902,7.0,.124
