Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP,WS,WS/48
2019,NBA,Giannis Antetokounmpo,(V),24,MIL,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292
2018,NBA,James Harden,(V),28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,.449,.367,.858,15.4,.289
2017,NBA,Russell Westbrook,(V),28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,.224
2016,NBA,Stephen Curry,(V),27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318
2015,NBA,Stephen Curry,(V),26,GSW,80,32.7,23.8,4.3,7.7,2.0,0.2,.487,.443,.914,15.7,.288
2014,NBA,Kevin Durant,(V),25,OKC,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,.295
2013,NBA,LeBron James,(V),28,MIA,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,.322
2012,NBA,LeBron James,(V),27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,.298
2011,NBA,Derrick Rose,(V),22,CHI,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208
2010,NBA,LeBron James,(V),25,CLE,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299
2009,NBA,LeBron James,(V),24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318
2008,NBA,Kobe Bryant,(V),29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208
2007,NBA,Dirk Nowitzki,(V),28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,.502,.416,.904,16.3,.278
2006,NBA,Steve Nash,(V),31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212
2005,NBA,Steve Nash,(V),30,PHO,75,34.3,15.5,3.3,11.5,1.0,0.1,.502,.431,.887,10.9,.203
2004,NBA,Kevin Garnett,(V),27,MIN,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272
2003,NBA,Tim Duncan,(V),26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248
2002,NBA,Tim Duncan,(V),25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,.257
2001,NBA,Allen Iverson,(V),25,PHI,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190
2000,NBA,Shaquille O'Neal,(V),27,LAL,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283
1999,NBA,Karl Malone,(V),35,UTA,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252
1998,NBA,Michael Jordan,(V),34,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238
1997,NBA,Karl Malone,(V),33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268
1996,NBA,Michael Jordan,(V),32,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317
1995,NBA,David Robinson,(V),29,SAS,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273
1994,NBA,Hakeem Olajuwon,(V),31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210
1993,NBA,Charles Barkley,(V),29,PHO,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242
1992,NBA,Michael Jordan,(V),28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274
1991,NBA,Michael Jordan,(V),27,CHI,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321
1990,NBA,Magic Johnson,(V),30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270
1989,NBA,Magic Johnson,(V),29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267
