Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP,WS,WS/48
2019,NBA,Luka Dončić,(V),19,DAL,72,32.2,21.2,7.8,6.0,1.1,0.3,.427,.327,.713,4.9,.101
2018,NBA,Ben Simmons,(V),21,PHI,81,33.7,15.8,8.1,8.2,1.7,0.9,.545,.000,.560,9.2,.162
2017,NBA,Malcolm Brogdon,(V),24,MIL,75,26.4,10.2,2.8,4.2,1.1,0.2,.457,.404,.865,4.1,.100
2016,NBA,KaAnthony Towns,(V),20,MIN,82,32.0,18.3,10.5,2.0,0.7,1.7,.542,.341,.811,8.3,.151
2015,NBA,Andrew Wiggins,(V),19,MIN,82,36.2,16.9,4.6,2.1,1.0,0.6,.437,.310,.760,2.1,.034
2014,NBA,Michael CartWilliams,(V),22,PHI,70,34.5,16.7,6.2,6.3,1.9,0.6,.405,.264,.703,1.3,.026
2013,NBA,Damian Lillard,(V),22,POR,82,38.6,19.0,3.1,6.5,0.9,0.2,.429,.368,.844,5.8,.088
2012,NBA,Kyrie Irving,(V),19,CLE,51,30.5,18.5,3.7,5.4,1.1,0.4,.469,.399,.872,4.1,.125
2011,NBA,Blake Griffin,(V),21,LAC,82,38.0,22.5,12.1,3.8,0.8,0.5,.506,.292,.642,9.8,.152
2010,NBA,Tyreke Evans,(V),20,SAC,72,37.2,20.1,5.3,5.8,1.5,0.4,.458,.255,.748,5.4,.097
2009,NBA,Derrick Rose,(V),20,CHI,81,37.0,16.8,3.9,6.3,0.8,0.2,.475,.222,.788,4.9,.078
2008,NBA,Kevin Durant,(V),19,SEA,80,34.6,20.3,4.4,2.4,1.0,0.9,.430,.288,.873,2.3,.040
2007,NBA,Brandon Roy,(V),22,POR,57,35.4,16.8,4.4,4.0,1.2,0.2,.456,.377,.838,4.8,.114
2006,NBA,Chris Paul,(V),20,NOK,78,36.0,16.1,5.1,7.8,2.2,0.1,.430,.282,.847,10.4,.178
2005,NBA,Emeka Okafor,(V),22,CHA,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074
2004,NBA,LeBron James,(V),19,CLE,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078
2003,NBA,Amar'e Stoudemire,(V),20,PHO,82,31.3,13.5,8.8,1.0,0.8,1.1,.472,.200,.661,6.2,.116
2002,NBA,Pau Gasol,(V),21,MEM,82,36.7,17.6,8.9,2.7,0.5,2.1,.518,.200,.709,7.6,.121
2001,NBA,Mike Miller,(V),20,ORL,82,29.1,11.9,4.0,1.7,0.6,0.2,.436,.407,.711,5.3,.106
2000,NBA,Steve Francis,(V),22,HOU,77,36.1,18.0,5.3,6.6,1.5,0.4,.445,.345,.786,6.4,.111
2000,NBA,Elton Brand,(V),20,CHI,81,37.0,20.1,10.0,1.9,0.8,1.6,.482,.000,.685,7.5,.121
1999,NBA,Vince Carter,(V),22,TOR,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136
1998,NBA,Tim Duncan,(V),21,SAS,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192
1997,NBA,Allen Iverson,(V),21,PHI,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065
1996,NBA,Damon Stoudamire,(V),22,TOR,70,40.9,19.0,4.0,9.3,1.4,0.3,.426,.395,.797,4.3,.072
1995,NBA,Jason Kidd,(V),21,DAL,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066
1995,NBA,Grant Hill,(V),22,DET,70,38.3,19.9,6.4,5.0,1.8,0.9,.477,.148,.732,5.4,.097
1994,NBA,Chris Webber,(V),20,GSW,76,32.1,17.5,9.1,3.6,1.2,2.2,.552,.000,.532,7.8,.154
1993,NBA,Shaquille O'Neal,(V),20,ORL,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163
1992,NBA,Larry Johnson,(V),22,CHH,82,37.2,19.2,11.0,3.6,1.0,0.6,.490,.227,.829,8.9,.140
1991,NBA,Derrick Coleman,(V),23,NJN,74,35.2,18.4,10.3,2.2,1.0,1.3,.467,.342,.731,5.8,.108
1990,NBA,David Robinson,(V),24,SAS,82,36.6,24.3,12.0,2.0,1.7,3.9,.531,.000,.732,15.1,.241
