conference,division,name
East,Atlantic,Boston Celtics
East,Atlantic,Brooklyn Nets
East,Atlantic,New York Knicks
East,Atlantic,Philadelphia 76ers
East,Atlantic,Toronto Raptors
East,Central,Chicago Bulls
East,Central,Cleveland Cavaliers
East,Central,Detroit Pistons
East,Central,Indiana Pacers
East,Central,Milwaukee Bucks
East,Southeast,Atlanta Hawks
East,Southeast,Charlotte Hornets
East,Southeast,Miami Heat
East,Southeast,Orlando Magic
East,Southeast,Washington Wizards
West,Northwest,Denver Nuggets
West,Northwest,Minnesota Timberwolves
West,Northwest,Oklahoma City Thunder
West,Northwest,Portland Trail Blazers
West,Northwest,Utah Jazz
West,Pacific,Golden State Warriors
West,Pacific,Los Angeles Clippers
West,Pacific,Los Angeles Lakers
West,Pacific,Phoenix Suns
West,Pacific,Sacramento Kings
West,Southwest,Dallas Mavericks
West,Southwest,Houston Rockets
West,Southwest,Memphis Grizzlies
West,Southwest,New Orleans Pelicans
West,Southwest,San Antonio Spurs
