Rk,Pk,Tm,Player,Pre,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,2,94,2943,1590,1005,175,0.572,0,0.759,31.3,16.9,10.7,1.9,8,0.13,0.4,1.8
2,2,SAC,Marvin Bagley,Duke,2,75,1901,1108,568,72,0.497,0.288,0.703,25.3,14.8,7.6,1,4,0.1,-2.5,-0.3
3,3,ATL,Luka Dončić,Real Madrid,2,116,3761,2797,983,810,0.443,0.325,0.737,32.4,24.1,8.5,7,12,0.153,6.9,8.4
4,4,MEM,Jaren Jackson,Michigan State,2,111,3011,1705,522,139,0.486,0.387,0.758,27.1,15.4,4.7,1.3,6.2,0.1,0.4,1.9
5,5,DAL,Trae Young,Oklahoma,2,132,4303,3082,523,1120,0.43,0.349,0.843,32.6,23.3,4,8.5,8.6,0.096,1.6,3.9
6,6,ORL,Mohamed Bamba,Texas,2,97,1513,565,482,72,0.475,0.321,0.621,15.6,5.8,5,0.7,3.6,0.116,0.5,1
7,7,CHI,Wendell Carter,Duke,2,81,2219,888,673,122,0.509,0.2,0.763,27.4,11,8.3,1.5,5,0.108,-0.4,0.9
8,8,CLE,Collin Sexton,Alabama,2,136,4342,2440,408,389,0.443,0.387,0.848,31.9,17.9,3,2.9,1.1,0.012,-4.3,-2.5
9,9,NYK,Kevin Knox,Kentucky,2,129,3146,1328,491,133,0.369,0.338,0.699,24.4,10.3,3.8,1,-1,-0.015,-5.4,-2.7
10,10,PHI,Mikal Bridges,Villanova,2,137,3830,1128,480,261,0.458,0.338,0.812,28,8.2,3.5,1.9,6.1,0.077,0.5,2.4
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,2,137,4129,1960,566,447,0.47,0.357,0.805,30.1,14.3,4.1,3.3,8.1,0.094,0.1,2.2
12,12,LAC,Miles Bridges,Michigan State,2,135,3387,1323,630,188,0.45,0.333,0.78,25.1,9.8,4.7,1.4,4.5,0.064,-1.3,0.6
13,13,LAC,Jerome Robinson,Boston College,2,78,851,248,114,69,0.364,0.303,0.6,10.9,3.2,1.5,0.9,0,0.001,-4.6,-0.6
14,14,DEN,Michael Porter,Missouri,1,39,556,311,171,29,0.508,0.432,0.795,14.3,8,4.4,0.7,1.9,0.165,0.4,0.3
15,15,WAS,Troy Brown,Oregon,2,102,2022,759,427,196,0.443,0.328,0.733,19.8,7.4,4.2,1.9,2.6,0.061,-1.9,0
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.013,-5.3,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,2,77,1553,590,298,139,0.446,0.321,0.775,20.2,7.7,3.9,1.8,4.2,0.13,1.4,1.3
18,18,SAS,Lonnie Walker,Miami (FL),2,63,752,309,111,43,0.423,0.387,0.721,11.9,4.9,1.8,0.7,0.4,0.027,-4.4,-0.5
19,19,ATL,Kevin Huerter,Maryland,2,121,3452,1296,436,370,0.419,0.388,0.779,28.5,10.7,3.6,3.1,2.6,0.036,-1.8,0.1
20,20,MIN,Josh Okogie,Georgia Tech,2,125,3003,1010,440,171,0.396,0.268,0.76,24,8.1,3.5,1.4,2.9,0.046,-1.5,0.4
21,21,UTA,Grayson Allen,Duke,2,68,914,432,89,68,0.412,0.342,0.789,13.4,6.4,1.3,1,0.7,0.036,-4.9,-0.7
22,22,CHI,Chandler Hutchison,Boise State,2,72,1422,447,293,60,0.458,0.295,0.595,19.8,6.2,4.1,0.8,1.2,0.042,-4.1,-0.8
23,23,IND,Aaron Holiday,UCLA,2,99,1763,777,175,255,0.41,0.382,0.846,17.8,7.8,1.8,2.6,2.5,0.067,-2,0
24,24,POR,Anfernee Simons,IMG Academy,2,75,1360,577,149,96,0.418,0.341,0.777,18.1,7.7,2,1.3,0.5,0.019,-4.5,-0.9
25,25,LAL,Moritz Wagner,Michigan,2,69,973,502,234,57,0.508,0.321,0.798,14.1,7.3,3.4,0.8,1.4,0.071,-2.3,-0.1
26,26,PHI,Landry Shamet,Wichita State,2,117,2913,1125,213,187,0.433,0.418,0.845,24.9,9.6,1.8,1.6,6,0.1,-0.5,1.1
27,27,BOS,Robert Williams,Texas A&M,2,51,552,155,168,28,0.69,,0.586,10.8,3,3.3,0.5,2.3,0.198,5.1,1
28,28,GSW,Jacob Evans,Cincinnati,2,58,619,168,66,54,0.339,0.321,0.833,10.7,2.9,1.1,0.9,-0.6,-0.046,-7.4,-0.8
