start_time,away_team,away_team_score,home_team,home_team_score
2019-10-23,NEW ORLEANS PELICANS,122,TORONTO RAPTORS,130
2019-10-23,LOS ANGELES LAKERS,102,LOS ANGELES CLIPPERS,112
2019-10-23,CHICAGO BULLS,125,CHARLOTTE HORNETS,126
2019-10-23,DETROIT PISTONS,119,INDIANA PACERS,110
2019-10-23,CLEVELAND CAVALIERS,85,ORLANDO MAGIC,94
2019-10-23,MINNESOTA TIMBERWOLVES,127,BROOKLYN NETS,126
2019-10-23,MEMPHIS GRIZZLIES,101,MIAMI HEAT,120
2019-10-23,BOSTON CELTICS,93,PHILADELPHIA 76ERS,107
2019-10-24,WASHINGTON WIZARDS,100,DALLAS MAVERICKS,108
2019-10-24,NEW YORK KNICKS,111,SAN ANTONIO SPURS,120
2019-10-24,OKLAHOMA CITY THUNDER,95,UTAH JAZZ,100
2019-10-24,SACRAMENTO KINGS,95,PHOENIX SUNS,124
2019-10-24,DENVER NUGGETS,108,PORTLAND TRAIL BLAZERS,100
2019-10-24,ATLANTA HAWKS,117,DETROIT PISTONS,100
2019-10-25,MILWAUKEE BUCKS,117,HOUSTON ROCKETS,111
2019-10-25,LOS ANGELES CLIPPERS,141,GOLDEN STATE WARRIORS,122
2019-10-25,TORONTO RAPTORS,106,BOSTON CELTICS,112
2019-10-25,MINNESOTA TIMBERWOLVES,121,CHARLOTTE HORNETS,99
2019-10-25,NEW YORK KNICKS,109,BROOKLYN NETS,113
2019-10-26,CHICAGO BULLS,110,MEMPHIS GRIZZLIES,102
2019-10-26,DALLAS MAVERICKS,123,NEW ORLEANS PELICANS,116
2019-10-26,WASHINGTON WIZARDS,97,OKLAHOMA CITY THUNDER,85
2019-10-26,PHOENIX SUNS,107,DENVER NUGGETS,108
2019-10-26,PORTLAND TRAIL BLAZERS,122,SACRAMENTO KINGS,112
2019-10-26,UTAH JAZZ,86,LOS ANGELES LAKERS,95
2019-10-26,MIAMI HEAT,131,MILWAUKEE BUCKS,126
2019-10-26,PHILADELPHIA 76ERS,117,DETROIT PISTONS,111
2019-10-26,ORLANDO MAGIC,99,ATLANTA HAWKS,103
2019-10-26,BOSTON CELTICS,118,NEW YORK KNICKS,95
2019-10-27,TORONTO RAPTORS,108,CHICAGO BULLS,84
2019-10-27,INDIANA PACERS,99,CLEVELAND CAVALIERS,110
