name,nick
"Adrian Dantley","A.D.,Teach"
"Allen Iverson","A.I.,Bubba Chuck,The Answer"
"Ariel Maughan","Ace"
"Leo Gottlieb","Ace"
"Tom Heinsohn","Ack-Ack,Tommy Gun"
"Demetrius Jackson","Action"
"Mark Jackson","Action"
"Phil Jackson","Action,The Zen Master"
"Anthony Davis","AD,The Brow,Unibrow"
"Hassan Whiteside","Agent Block,Count Blockula"
"Gilbert Arenas","Agent Zero,Gil,Nacho,The Hibachi"
"Andre Iguodala","AI2,Iggy"
"Vince Carter","Air Canada,Half-Man/Half-Amazing,Vinsanity"
"Serge Ibaka","Air Congo,Iblocka,Mafuzzy Chef"
"Mickael Pietrus","Air France"
"Eric Gordon","Air Gordon,E-Money,EG,3G"
"Michael Jordan","Air Jordan,His Airness,M.J."
"Dennis Johnson","Airplane,D.J."
"Derrick Jones Jr.","Airplane Mode Jones"
"Bob Kauffman","Ajax"
"Buck Williams","Ajax"
"Andrei Kirilenko","AK-47"
"Alfred McGuire","Al"
"Trajan Langdon","Alaskan Assassin"
"Aleksandar Radojevic","Alek"
"Boo Ellis","Alex"
"Alfredrick Hughes","Alfred"
"Toni Kukoc","Alien,The Pink Panther"
"World B. Free","All-World"
"Alaa Abdelnaby","Alphabet,The Pharaoh"
"Ashraf Amaya","Andrew"
"Andrew Anderson","Andy"
"Ken Menke","Angles"
"Kyrie Irving","Ankletaker,Uncle Drew"
"Steven Adams","Aquaman,Big Kiwi"
"Ryan Arcidiacono","Arch"
"Arthur Becker","Art"
"Chuck Aleksinas","Asesino"
"Nathan Jawai","Aussie Shaq,Baby Shaq"
"Baron Davis","B-Diddy,Boom Dizzle"
"Michael Beasley","B-Easy,Supercool Beas"
"Brandon Roy","B-Roy"
"Brian Shaw","B. Shaw"
"Billy Thompson","B.T. Express"
"Clarence Weatherspoon","Baby Barkley,Spoon"
"Dejounte Murray","Baby Boy"
"Cliff Pondexter","Baby Bull"
"George McGinnis","Baby Bull,Big George,Big Mac,McGinnis the Magnificent"
"Harold Miner","Baby Jordan"
"Ray Felix","Baby Ray,The Count"
"Eddy Curry","Baby Shaq"
"Marvin Barnes","Bad News,The Magnificent"
"Corey Maggette","Bad Porn"
"Norm Grekin","Bag of Bones"
"Derrick Chievous","Band-Aid"
"Andrea Bargnani","Bargs,Il Mago"
"Leo Barnhorst","Barney"
"Damon Jones","Basketball Jones,The Specialist"
"Sebastian Telfair","Bassy"
"Danny Granger","Batman"
"Etdrick Bohannon","Batman"
"Scottie Pippen","Batman,Pip"
"Bill Sharman","Battling Bill"
"Shabazz Napier","Bazz"
"Bob Love","Bean,Butterbean"
"Joe Bryant","Bean,Jellybean"
"Nick Young","Bean Burrito,Swaggy P,Uncle P"
"Mike Brown","Bear"
"Paul Hoffman","Bear,The Body"
"Steve Sheppard","Bear"
"Lucas Nogueira","Bebe"
"Marco Belinelli","Beli"
"Nemanja Bjelica","Belly,Professor Big Shots"
"Mike Bibby","Bib"
"Norm Nixon","Big,Mr. May,Savoir Faire,Stormin' Norman"
"Alan Williams","Big Al,Big Sauce"
"Glen Davis","Big Baby"
"James Lang","Big Baby"
"Ben Wallace","Big Ben,Debo"
"Brad Lohaus","Big Bird"
"Bob Pettit","Big Blue"
"Marc Gasol","Big Burrito,Big Spain"
"Larry Kenon","Big Cat,K"
"Bryant Reeves","Big Country"
"Dave DeBusschere","Big D"
"Dave Lattin","Big Daddy"
"Jay Vincent","Big Daddy,Fat Daddy,Midnight Creeper"
"JaVale McGee","Big Daddy Wookie,Pierre"
"Melvin Turpin","Big Dipper"
"Glenn Robinson","Big Dog"
"Don Otten","Big Don"
"Drew Gooden","Big Drizzle"
"Edmund Lawrence","Big E"
"Elden Campbell","Big E,Easy"
"Ed Macauley","Big Ed,Easy Ed"
"Kareem Abdul-Jabbar","Big Fella,Cap"
"Roy Hinson","Big Fella"
"Les Hunter","Big Game"
"Monte Morris","Big Game"
"Damian Lillard","Big Game Dame,Dame,Dame Dolla,Logo"
"James Worthy","Big Game James"
"Nikola Jokic","Big Honey,Joker"
"Jim McDaniels","Big Mac"
"Todd MacCulloch","Big Mac"
"George Mikan","Big Mike,Mr. Basketball"
"Moses Malone","Big Mo,Chairman of the Boards"
"Corliss Williamson","Big Nasty"
"Oscar Robertson","Big O"
"Bradley Beal","Big Panda"
"Ricky Pierce","Big Paper Daddy"
"Bill Walton","Big Red"
"Red Kerr","Big Red"
"Kyle Collinsworth","Big Russia"
"Robert Horry","Big Shot Bob,Big Shot Rob"
"Joe Johnson","Big Shot Joe,Iso Joe,Joe Cool,The Armadillo Cowboy"
"Sam Perkins","Big Smooth,Sleepy Sam"
"Victor Alexander","Big Smoothie"
"Thurl Bailey","Big T"
"Lionel Billingy","Big Train"
"Zelmo Beaty","Big Z"
"Zydrunas Ilgauskas","Big Z"
"Caleb Swanigan","Biggie"
"Butch van Breda Kolff","Bill,The Butcher"
"Bill Cartwright","Billy Idle,Medical Bill"
"Billy Donovan","Billy the Kid"
"George Yardley","Bird"
"Otis Birdsong","Bird"
"Randy White","Bird"
"Chris Andersen","Birdman"
"Bismack Biyombo","Biz"
"Harrison Barnes","Black Falcon"
"Armen Gilliam","Black Hole,The Hammer"
"Earl Monroe","Black Jesus,Black Magic,The Pearl"
"Kobe Bryant","Black Mamba,Showboat,Vino"
"Billy Ray Bates","Black Superman"
"Jamal Murray","Blue Arrow"
"Tom Boerwinkle","Bo,Mr. Inside"
"Bob Dandridge","Bobby D,Greyhound"
"Boris Diaw","Bobo,3D"
"Bojan Bogdanovic","Bogi"
"Bostjan Nachbar","Boki"
"Brent Barry","Bones"
"Anthony Bowie","Boo"
