Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,Steven Adams,C,26,OKC,49,49,27.0,4.4,7.6,.583,0.0,0.1,.333,4.4,7.6,.585,.584,1.8,3.0,.588,3.3,6.0,9.3,2.6,0.7,1.1,1.5,2.0,10.7
2020,Bam Adebayo,PF,22,MIA,54,54,34.5,6.2,10.7,.579,0.0,0.2,.091,6.2,10.5,.588,.580,3.4,5.1,.681,2.6,7.8,10.4,4.9,1.2,1.2,2.7,2.4,15.8
2020,LaMarcus Aldridge,C,34,SAS,50,50,33.2,7.4,14.9,.501,1.2,2.9,.407,6.3,12.0,.523,.540,3.0,3.6,.830,2.0,5.6,7.6,2.4,0.6,1.6,1.4,2.4,19.1
2020,Nickeil Alexander-Walker,SG,21,NOP,41,0,12.2,1.9,5.5,.339,1.0,2.9,.342,0.9,2.7,.336,.427,0.4,0.7,.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
2020,Grayson Allen,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
2020,Jarrett Allen,C,21,BRK,53,49,26.6,4.3,6.7,.641,0.0,0.1,.000,4.3,6.6,.651,.641,2.4,3.8,.631,3.1,6.6,9.7,1.4,0.6,1.5,1.1,2.4,11.1
2020,Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
2020,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
2020,Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
2020,Kyle Anderson,PF,26,MEM,48,9,18.1,2.2,4.4,.498,0.2,0.9,.195,2.0,3.6,.570,.516,0.7,1.1,.648,0.9,3.2,4.1,2.1,0.8,0.5,0.9,1.5,5.3
2020,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
2020,Giannis Antetokounmpo,PF,25,MIL,48,48,30.9,11.0,20.1,.549,1.5,4.9,.313,9.5,15.2,.625,.587,6.4,10.4,.614,2.5,11.0,13.5,5.8,1.1,1.1,3.7,3.1,30.0
2020,Kostas Antetokounmpo,PF,22,LAL,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
2020,Thanasis Antetokounmpo,SF,27,MIL,15,1,4.1,0.9,1.5,.565,0.0,0.2,.000,0.9,1.3,.650,.565,0.3,0.6,.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2.0
2020,Carmelo Anthony,PF,35,POR,40,40,32.5,5.8,13.9,.414,1.4,3.9,.350,4.4,10.0,.439,.463,2.2,2.6,.837,1.3,5.3,6.6,1.5,0.8,0.5,1.8,3.0,15.1
2020,OG Anunoby,SF,22,TOR,54,53,29.1,4.1,8.2,.499,1.3,3.4,.372,2.8,4.8,.588,.576,0.8,1.2,.662,1.1,4.3,5.4,1.5,1.2,0.6,1.2,2.4,10.2
2020,Ryan Arcidiacono,PG,25,CHI,51,0,15.0,1.5,3.5,.411,0.9,2.2,.407,0.5,1.3,.418,.539,0.4,0.5,.714,0.3,1.4,1.7,1.5,0.4,0.1,0.6,1.6,4.2
2020,Trevor Ariza,SF,34,TOT,43,11,26.5,2.4,5.7,.427,1.3,3.7,.363,1.1,2.0,.547,.545,0.8,1.0,.833,0.7,3.9,4.6,1.6,1.3,0.3,0.9,2.0,7.0
2020,Trevor Ariza,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
