Yr,Lg,Conference,Series,Date,,Winner,Wins,,Loser,Losses,,Favorite,Underdog
2019,NBA,East,Conference First Round,Apr 1 Apr 22 2019,,Milwaukee Bucks (1),4,,Detroit Pistons (8),0,,MIL3500),DET (+1750)
2019,NBA,East,Conference First Round,Apr 1 Apr 23 2019,,Toronto Raptors (2),4,,Orlando Magic (7),1,,TOR1200),ORL (+775)
2019,NBA,East,Conference First Round,Apr 1 Apr 23 2019,,Philadelphia 76ers (3),4,,Brooklyn Nets (6),1,,PHI600),BRK (+450)
2019,NBA,East,Conference First Round,Apr 1 Apr 21 2019,,Boston Celtics (4),4,,Indiana Pacers (5),0,,BOS465),IND (+370)
2019,NBA,West,Conference First Round,Apr 1 Apr 26 2019,,Golden State Warriors (1),4,,Los Angeles Clippers (8),2,,GSW15000),LAC (+6000)
2019,NBA,West,Conference First Round,Apr 1 Apr 27 2019,,Denver Nuggets (2),4,,San Antonio Spurs (7),3,,DEN270),SAS (+230)
2019,NBA,West,Conference First Round,Apr 1 Apr 23 2019,,Portland Trail Blazers (3),4,,Oklahoma City Thunder (6),1,,OKC165),POR (+145)
2019,NBA,West,Conference First Round,Apr 1 Apr 24 2019,,Houston Rockets (4),4,,Utah Jazz (5),1,,HOU310),UTA (+255)
2019,NBA,East,Conference Semifinals,Apr 2 May 8 2019,,Milwaukee Bucks (1),4,,Boston Celtics (4),1,,MIL360),BOS (+300)
2019,NBA,East,Conference Semifinals,Apr 2 May 12 2019,,Toronto Raptors (2),4,,Philadelphia 76ers (3),3,,TOR290),PHI (+245)
2019,NBA,West,Conference Semifinals,Apr 2 May 10 2019,,Golden State Warriors (1),4,,Houston Rockets (4),2,,GSW280),HOU (+240)
2019,NBA,West,Conference Semifinals,Apr 2 May 12 2019,,Portland Trail Blazers (3),4,,Denver Nuggets (2),3,,DEN145),POR (+125)
2019,NBA,East,Conference Finals,May 1 May 25 2019,,Toronto Raptors (2),4,,Milwaukee Bucks (1),2,,MIL270),TOR (+230)
2019,NBA,West,Conference Finals,May 1 May 20 2019,,Golden State Warriors (1),4,,Portland Trail Blazers (3),0,,GSW550),POR (+425)
2019,NBA,,NBA Finals,May 3 Jun 13 2019,,Toronto Raptors (2),4,,Golden State Warriors (1),2,,GSW270),TOR (+230)
2018,NBA,East,Conference First Round,Apr 1 Apr 27 2018,,Toronto Raptors (1),4,,Washington Wizards (8),2,,TOR630),WAS (+465)
2018,NBA,East,Conference First Round,Apr 1 Apr 28 2018,,Boston Celtics (2),4,,Milwaukee Bucks (7),3,,BOS150),MIL (+130)
2018,NBA,East,Conference First Round,Apr 1 Apr 24 2018,,Philadelphia 76ers (3),4,,Miami Heat (6),1,,PHI500),MIA (+400)
2018,NBA,East,Conference First Round,Apr 1 Apr 29 2018,,Cleveland Cavaliers (4),4,,Indiana Pacers (5),3,,CLE600),IND (+450)
